"n","proposed_cov","proposed_width","proposed_med_width","naive_cov","naive_width","naive_med_width","stdLLR_cov_tauRD","stdLLR_width","stdLLR_med_width","stdLLR_cov_tauPE","n_na","n_failed","n_success","tauRD","tau_partial","gamma"
500,0.947,6.27538983630528,6.1917719632044,0.939,11.3454035390357,10.9261257466603,0.65,1.89454637080237,1.88748464149895,0.95,0,0,2000,1.74462164600998,1,0.5
1000,0.9505,4.56881126285389,4.53646472119943,0.944,8.20871926735285,8.01669552983335,0.4355,1.39375591165844,1.39148570857602,0.9545,0,0,2000,1.74462164600998,1,0.5
2000,0.947,3.34821704551887,3.32591656901935,0.9455,6.01303170823084,5.93115979901982,0.178,1.02646447600021,1.02233710210772,0.9525,0,0,2000,1.74462164600998,1,0.5
4000,0.95,2.47113342839826,2.46120934526365,0.943,4.42978979216526,4.38929650513296,0.0365,0.760360262398498,0.75635431361959,0.9465,0,0,2000,1.74462164600998,1,0.5
8000,0.958,1.8277028630609,1.81904254062977,0.954,3.27192353471842,3.25900129806621,0.001,0.56347561608528,0.559107185625424,0.943,0,0,2000,1.74462164600998,1,0.5
16000,0.944,1.35165358491502,1.34576842603873,0.9475,2.42261309298583,2.41206281997418,0,0.417528063560354,0.414240812463708,0.956,0,0,2000,1.74462164600998,1,0.5
32000,0.9475,1.00487279547884,0.998092953923352,0.9515,1.7982933971411,1.78797146190534,0,0.309921966609461,0.307296770245847,0.943,0,0,2000,1.74462164600998,1,0.5
64000,0.943,0.74571893395915,0.740579391568289,0.9375,1.33882892210684,1.33025743835309,0,0.230040875839792,0.227923005782717,0.951,0,0,2000,1.74462164600998,1,0.5
