gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.2585
0.0,2,-2.5382006996465347,0.2585
0.0,4,-2.5382006996465347,0.2585
0.0,8,-2.5382006996465347,0.2585
0.9583333333,1,-146.22895735525327,1.1202890088994442
0.9583333333,2,-163.72063733714336,1.249828829635418
0.9583333333,4,-166.30050887486124,1.2687952905246072
0.9583333333,8,-166.34449351420665,1.2691119832899298
0.9791666667,1,-213.4259661135304,1.5221015538027898
0.9791666667,2,-286.5354501897099,2.027637652270843
0.9791666667,4,-323.05201778567846,2.2775300485547167
0.9791666667,8,-328.5335725305511,2.314633713370962
0.9895833333,1,-262.46414602638214,1.7911019256256935
0.9895833333,2,-413.3036399079855,2.7902687536229425
0.9895833333,4,-560.646486934236,3.7539024173056714
0.9895833333,8,-634.2857495536805,4.234585262486953
0.9947916667,1,-292.3902117480288,1.947671609729148
0.9947916667,2,-509.57005729607,3.35262064623067
0.9947916667,4,-812.052796150047,5.2822075363266325
0.9947916667,8,-1105.9468470770128,7.1639910898366255
1.0,1,-326.7256539096816,2.1214
1.0,2,-639.9220863510167,4.0972
1.0,4,-1270.4566071030727,8.015
1.0,8,-2528.5989799736763,15.9097
