gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.0298
0.0,2,-2.5382006996465347,0.0298
0.0,4,-2.5382006996465347,0.0298
0.0,8,-2.5382006996465347,0.0298
0.9583333333,1,-155.87369970446514,0.7137759416973303
0.9583333333,2,-174.62406971497742,0.7959451593478739
0.9583333333,4,-177.38542009502297,0.8081973449772332
0.9583333333,8,-177.43251416631853,0.8083991457887474
0.9791666667,1,-228.20082146446066,1.002544661928263
0.9791666667,2,-306.79572577454985,1.3322197837569025
0.9791666667,4,-345.9722798586512,1.4980464753967988
0.9791666667,8,-351.8533727519408,1.5224354574623125
0.9895833333,1,-281.00396817597,1.1967001458527926
0.9895833333,2,-443.3714337927846,1.8563769482026462
0.9895833333,4,-601.61593353675,2.503497545093793
0.9895833333,8,-680.6902339099487,2.8242409894770555
0.9947916667,1,-313.23283514385787,1.3099209849039788
0.9947916667,2,-547.1533985008679,2.2429074129303963
0.9947916667,4,-872.1803009028437,3.545997146787864
0.9947916667,8,-1187.891533051801,4.811058731178768
1.0,1,-350.2139611083805,1.4357
1.0,2,-687.7490961917823,2.7551
1.0,4,-1365.6057125447028,5.4152
1.0,8,-2717.673490001277,10.7617
