gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.0521
0.0,2,-2.5382006996465347,0.0521
0.0,4,-2.5382006996465347,0.0521
0.0,8,-2.5382006996465347,0.0521
0.9583333333,1,-152.99311394708414,0.7886729242971381
0.9583333333,2,-171.35272087325626,0.880307560066481
0.9583333333,4,-174.05690019732106,0.893921822632031
0.9583333333,8,-174.10303182694864,0.8941460247972028
0.9791666667,1,-223.58222817511768,1.1016747125316952
0.9791666667,2,-300.4253572523092,1.4674346772003903
0.9791666667,4,-338.7583117374937,1.6506266064682427
0.9791666667,8,-344.51513315441986,1.67755851226136
0.9895833333,1,-275.09344298951925,1.3117667930274548
0.9895833333,2,-433.73010629383754,2.0419382595157045
0.9895833333,4,-588.5146048779767,2.7548927079323953
0.9895833333,8,-665.8959180306624,3.108114734102911
0.9947916667,1,-306.5283605919125,1.4341809591764403
0.9947916667,2,-534.9964397634399,2.465719561337425
0.9947916667,4,-852.8701276052293,3.8995087558377635
0.9947916667,8,-1161.7868437764519,5.290690017875279
1.0,1,-342.5949725105622,1.5701
1.0,2,-672.1538307155276,3.0273
1.0,4,-1335.005078420335,5.9505
1.0,8,-2657.861871735897,11.821
