gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.8495
0.0,2,-2.5382006996465347,0.8495
0.0,4,-2.5382006996465347,0.8495
0.0,8,-2.5382006996465347,0.8495
0.9583333333,1,-144.28767362888493,1.796629733289485
0.9583333333,2,-161.57757502779126,1.9876657192117975
0.9583333333,4,-164.12813468535865,2.015853927669609
0.9583333333,8,-164.1716021571588,2.016327734435234
0.9791666667,1,-210.70954014915213,2.3374548130813624
0.9791666667,2,-282.97468312433625,3.061729518108353
0.9791666667,4,-319.080302931123,3.4227598867277056
0.9791666667,8,-324.4977113221657,3.4765624317570043
0.9895833333,1,-259.1987839932233,2.6975735839684436
0.9895833333,2,-408.29118316999353,4.111149005380224
0.9895833333,4,-553.9759759254523,5.486597651166726
0.9895833333,8,-626.7537925484713,6.173547925867896
0.9947916667,1,-288.79348063477596,2.9067256458896122
0.9947916667,2,-503.4523566401086,4.882824389684764
0.9947916667,4,-802.526366757301,7.621732404848047
0.9947916667,8,-1092.9782169462032,10.291928263885044
1.0,1,-322.75084827210634,3.1385
1.0,2,-632.3019183576039,5.9022
1.0,4,-1255.7136544912219,11.434
1.0,8,-2499.0812588070794,22.558
