gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.7229
0.0,2,-2.5382006996465347,0.7229
0.0,4,-2.5382006996465347,0.7229
0.0,8,-2.5382006996465347,0.7229
0.9583333333,1,-144.28767362888493,1.652338188192087
0.9583333333,2,-161.57757502779126,1.829230529982222
0.9583333333,4,-164.12813468535865,1.8553620021017037
0.9583333333,8,-164.1716021571588,1.8558005047662274
0.9791666667,1,-210.70954014915213,2.1628396291832104
0.9791666667,2,-282.97468312433625,2.837282686731934
0.9791666667,4,-319.080302931123,3.173504112264955
0.9791666667,8,-324.4977113221657,3.223545813028643
0.9895833333,1,-259.1987839932233,2.5029887531759427
0.9895833333,2,-408.29118316999353,3.8225267672635224
0.9895833333,4,-553.9759759254523,5.10598730936351
0.9895833333,8,-626.7537925484713,5.746152588870908
0.9947916667,1,-288.79348063477596,2.7005918556328
0.9947916667,2,-503.4523566401086,4.547309983334145
0.9947916667,4,-802.526366757301,7.105404145777233
0.9947916667,8,-1092.9782169462032,9.596061001456487
1.0,1,-322.75084827210634,2.9196
1.0,2,-632.3019183576039,5.5051
1.0,4,-1255.7136544912219,10.6763
1.0,8,-2499.0812588070794,21.0627
