gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.0036
0.0,2,-2.5382006996465347,0.0036
0.0,4,-2.5382006996465347,0.0036
0.0,8,-2.5382006996465347,0.0036
0.9583333333,1,-166.95569687669234,0.5150379522342833
0.9583333333,2,-187.1371667698421,0.5736960044335888
0.9583333333,4,-190.10879923697576,0.582478598873347
0.9583333333,8,-190.15951197979726,0.5826211462229625
0.9791666667,1,-246.18259012244852,0.7378639054175196
0.9791666667,2,-331.10709215387885,0.9775618930866116
0.9791666667,4,-373.45591318643454,1.0984230084144322
0.9791666667,8,-379.8112741759219,1.1160626022060243
0.9895833333,1,-304.0867034021542,0.8892955536492732
0.9895833333,2,-479.81712360958437,1.3731004551556267
0.9895833333,4,-651.1941774316779,1.8484487806942176
0.9895833333,8,-736.7568298997763,2.083089604424818
0.9947916667,1,-339.43882796449077,0.97805867002874
0.9947916667,2,-592.7944443858923,1.6651832100116728
0.9947916667,4,-945.0838809036287,2.626025295609709
0.9947916667,8,-1286.8911211401332,3.556343518642324
1.0,1,-380.00746458010804,1.077
1.0,2,-745.8271110209761,2.0527
1.0,4,-1481.0862799131596,4.0215
1.0,8,-2945.67305479162,7.972
