gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.9713
0.0,2,-2.5382006996465347,0.9713
0.0,4,-2.5382006996465347,0.9713
0.0,8,-2.5382006996465347,0.9713
0.9583333333,1,-144.28767362888493,1.9556562281168504
0.9583333333,2,-161.57757502779126,2.1708969055613716
0.9583333333,4,-164.12813468535865,2.2026876582321555
0.9583333333,8,-164.1716021571588,2.2032227674710416
0.9791666667,1,-210.70954014915213,2.539291721337681
0.9791666667,2,-282.97468312433625,3.348730757177078
0.9791666667,4,-319.080302931123,3.7525953659465006
0.9791666667,8,-324.4977113221657,3.812794092406585
0.9895833333,1,-259.1987839932233,2.928559419230761
0.9895833333,2,-408.29118316999353,4.502867895608034
0.9895833333,4,-553.9759759254523,6.035924646909784
0.9895833333,8,-626.7537925484713,6.801306125956636
0.9947916667,1,-288.79348063477596,3.154826145881217
0.9947916667,2,-503.4523566401086,5.352129135757681
0.9947916667,4,-802.526366757301,8.399638017560415
0.9947916667,8,-1092.9782169462032,11.368695467168424
1.0,1,-322.75084827210634,3.4057
1.0,2,-632.3019183576039,6.4742
1.0,4,-1255.7136544912219,12.6191
1.0,8,-2499.0812588070794,24.9639
