gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.569
0.0,2,-2.5382006996465347,0.569
0.0,4,-2.5382006996465347,0.569
0.0,8,-2.5382006996465347,0.569
0.9583333333,1,-144.28767362888493,1.4793193590722717
0.9583333333,2,-161.57757502779126,1.6403924161364172
0.9583333333,4,-164.12813468535865,1.664179025100133
0.9583333333,8,-164.1716021571588,1.6645776973154807
0.9791666667,1,-210.70954014915213,1.9549983065848469
0.9791666667,2,-282.97468312433625,2.5736482188714414
0.9791666667,4,-319.080302931123,2.8816745015410863
0.9791666667,8,-324.4977113221657,2.9275198799725457
0.9895833333,1,-259.1987839932233,2.2723162987091228
0.9895833333,2,-408.29118316999353,3.4865969785345277
0.9895833333,4,-553.9759759254523,4.66548525718116
0.9895833333,8,-626.7537925484713,5.254204431468194
0.9947916667,1,-288.79348063477596,2.45674137544809
0.9947916667,2,-503.4523566401086,4.158691516668318
0.9947916667,4,-802.526366757301,6.511083836455906
0.9947916667,8,-1092.9782169462032,8.806021627559332
1.0,1,-322.75084827210634,2.6612
1.0,2,-632.3019183576039,5.0474
1.0,4,-1255.7136544912219,9.8079
1.0,8,-2499.0812588070794,19.3967
