gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.9291
0.0,2,-2.5382006996465347,0.9291
0.0,4,-2.5382006996465347,0.9291
0.0,8,-2.5382006996465347,0.9291
0.9583333333,1,-144.28767362888493,1.8945683102762017
0.9583333333,2,-161.57757502779126,2.0984643908731577
0.9583333333,4,-164.12813468535865,2.128528233520505
0.9583333333,8,-164.1716021571588,2.129034418034785
0.9791666667,1,-210.70954014915213,2.459343042378846
0.9791666667,2,-282.97468312433625,3.2288881503164664
0.9791666667,4,-319.080302931123,3.612392266634647
0.9791666667,8,-324.4977113221657,3.6695805045308663
0.9895833333,1,-259.1987839932233,2.835582913542959
0.9895833333,2,-408.29118316999353,4.334619953421053
0.9895833333,4,-553.9759759254523,5.793147127953637
0.9895833333,8,-626.7537925484713,6.521643238138529
0.9947916667,1,-288.79348063477596,3.0541514408666184
0.9947916667,2,-503.4523566401086,5.147878456879013
0.9947916667,4,-802.526366757301,8.049876553404728
0.9947916667,8,-1092.9782169462032,10.878460333723757
1.0,1,-322.75084827210634,3.2964
1.0,2,-632.3019183576039,6.2222
1.0,4,-1255.7136544912219,12.0789
1.0,8,-2499.0812588070794,23.8504
