gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.1619
0.0,2,-2.5382006996465347,0.1619
0.0,4,-2.5382006996465347,0.1619
0.0,8,-2.5382006996465347,0.1619
0.9583333333,1,-148.12985011895972,0.9879510135068116
0.9583333333,2,-165.86472992369627,1.102624356080284
0.9583333333,4,-168.47743345847215,1.119535071898368
0.9583333333,8,-168.52198249333472,1.119816466764305
0.9791666667,1,-216.20942055138391,1.3571347472620445
0.9791666667,2,-290.34853049465823,1.8081997081341676
0.9791666667,4,-327.33569160322986,2.032649774382117
0.9791666667,8,-332.8888876630041,2.0659021765388412
0.9895833333,1,-265.89303387562796,1.6044804895264098
0.9895833333,2,-418.8708609364796,2.4990595420536805
0.9895833333,4,-568.1294748704198,3.367280552118243
0.9895833333,8,-642.7374450147687,3.7999106085269383
0.9947916667,1,-296.21449263842476,1.7484865739411104
0.9947916667,2,-516.4835669915058,3.0083828505620525
0.9947916667,4,-822.9196177950034,4.749414091926093
0.9947916667,8,-1120.6895923479744,6.446773991396523
1.0,1,-331.00524150979,1.9083
1.0,2,-648.6721622107184,3.6828
1.0,4,-1287.4938487635773,7.2226
1.0,8,-2562.268353469236,14.3591
