gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.0891
0.0,2,-2.5382006996465347,0.0891
0.0,4,-2.5382006996465347,0.0891
0.0,8,-2.5382006996465347,0.0891
0.9583333333,1,-150.56252772061384,0.8748798834765809
0.9583333333,2,-168.58839884521117,0.9772665206626571
0.9583333333,4,-171.2439039540712,0.9923989945548679
0.9583333333,8,-171.28920642178178,0.9926489800157571
0.9791666667,1,-219.86299048541716,1.2140340706771284
0.9791666667,2,-295.24027394678797,1.6200379167386452
0.9791666667,4,-332.8546777750394,1.8223144933811257
0.9791666667,8,-338.50305928090984,1.8521275668520538
0.9895833333,1,-270.4444675523415,1.4414108547565148
0.9895833333,2,-425.99527909155506,2.249504045529373
0.9895833333,4,-577.8274463887631,3.034394621861757
0.9895833333,8,-653.7113398963746,3.424166853073225
0.9947916667,1,-301.31653961444897,1.5738259505365029
0.9947916667,2,-525.3019596079524,2.7138241755705548
0.9947916667,4,-837.0648921969167,4.290066877390804
0.9947916667,8,-1139.906631455794,5.823143233377982
1.0,1,-336.7413652093057,1.7208
1.0,2,-659.7832118272775,3.329
1.0,4,-1309.7995466073162,6.5383
1.0,8,-2606.170741244211,13.0003
