gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.0152
0.0,2,-2.5382006996465347,0.0152
0.0,4,-2.5382006996465347,0.0152
0.0,8,-2.5382006996465347,0.0152
0.9583333333,1,-159.12321077366158,0.6439438782687424
0.9583333333,2,-178.33328364434325,0.7171242815477322
0.9583333333,4,-181.16103737067564,0.7281043604173943
0.9583333333,8,-181.20921552159655,0.7282852651915308
0.9791666667,1,-233.42243926767745,0.9095457110443221
0.9791666667,2,-314.0378064338734,1.2049002182799846
0.9791666667,4,-354.20227185243624,1.354325628897107
0.9791666667,8,-360.2256350820941,1.3763342257373077
0.9895833333,1,-287.6813957173172,1.0885074128878993
0.9895833333,2,-454.3027145715883,1.68109843587831
0.9895833333,4,-616.6147877918897,2.2656336277916997
0.9895833333,8,-697.6463079710395,2.5558426886954435
0.9947916667,1,-320.80118273978934,1.192972755124182
0.9947916667,2,-560.9007061232329,2.0321492945044137
0.9947916667,4,-894.3550172735622,3.2105374163445055
0.9947916667,8,-1217.9745016892984,4.356298258259243
1.0,1,-358.8053735160916,1.3091
1.0,2,-705.3222247770345,2.4973
1.0,4,-1400.899409678514,4.9054
1.0,8,-2787.2520361657403,9.7513
