"n","proposed_cov","proposed_width","proposed_med_width","naive_cov","naive_width","naive_med_width","stdLLR_cov_tauRD","stdLLR_width","stdLLR_med_width","stdLLR_cov_tauPE","n_na","n_failed","n_success","tauRD","tau_partial","gamma"
100,0.94,15.3372381981302,14.6874097704377,0.895,1914.04035968082,68.738663931223,0.445,3.64987301967131,3.64587101305299,0.93,0,0,200,2.85831272612355,1,0.8
200,0.975,11.6328208156146,11.1642524545073,0.93,57024.8642689288,42.1896282140705,0.275,2.70572183301959,2.68831372095426,0.965,0,0,200,2.85831272612355,1,0.8
400,0.955,8.27985181465102,8.07323424574367,0.935,63.899581883458,27.6709935154009,0.035,1.99223129863657,1.98036079218777,0.96,0,0,200,2.85831272612355,1,0.8
