"n","proposed_cov","proposed_width","proposed_med_width","naive_cov","naive_width","naive_med_width","stdLLR_cov_tauRD","stdLLR_width","stdLLR_med_width","stdLLR_cov_tauPE","n_na","n_failed","n_success","tauRD","tau_partial","gamma"
100,0.94,13.0037652903284,12.22432197506,0.93,47.6085586769705,24.8424770183205,0.865,3.64987301967131,3.64587101305299,0.93,0,0,200,1.77074777835994,1,0.5
200,0.935,9.66349247765896,9.29510672896958,0.95,20.2621877633437,16.3143899844278,0.84,2.70572183301959,2.68831372095426,0.965,0,0,200,1.77074777835994,1,0.5
400,0.935,6.90267157803888,6.82519282972961,0.965,12.4082639968725,11.9254846992357,0.685,1.99223129863657,1.98036079218777,0.96,0,0,200,1.77074777835994,1,0.5
100,0.94,15.3372381981302,14.6874097704377,0.895,1914.04035968082,68.738663931223,0.445,3.64987301967131,3.64587101305299,0.93,0,0,200,2.85831272612355,1,0.8
200,0.975,11.6328208156146,11.1642524545073,0.93,57024.8642689288,42.1896282140705,0.275,2.70572183301959,2.68831372095426,0.965,0,0,200,2.85831272612355,1,0.8
400,0.955,8.27985181465102,8.07323424574367,0.935,63.899581883458,27.6709935154009,0.035,1.99223129863657,1.98036079218777,0.96,0,0,200,2.85831272612355,1,0.8
100,0.935,26.8368906931692,25.2943440690333,0.945,26525.1954979853,189.492952778482,0.05,3.64987301967131,3.64587101305299,0.93,0,0,200,4.31966164758724,1,1
200,0.935,19.5191510281574,18.9674194693962,0.92,35978.3406096731,132.838163452219,0,2.70572183301959,2.68831372095426,0.965,0,0,200,4.31966164758724,1,1
400,0.96,13.5468207851282,13.3364540147619,0.915,57558.8038708662,77.7116161356272,0,1.99223129863657,1.98036079218777,0.96,0,0,200,4.31966164758724,1,1
