"n","proposed_cov","proposed_width","proposed_med_width","naive_cov","naive_width","naive_med_width","stdLLR_cov_tauRD","stdLLR_width","stdLLR_med_width","stdLLR_cov_tauPE","n_na","n_failed","n_success","tauRD","tau_partial","gamma"
100,0.94,13.0037652903284,12.22432197506,0.93,47.6085586769705,24.8424770183205,0.865,3.64987301967131,3.64587101305299,0.93,0,0,200,1.77074777835994,1,0.5
200,0.935,9.66349247765896,9.29510672896958,0.95,20.2621877633437,16.3143899844278,0.84,2.70572183301959,2.68831372095426,0.965,0,0,200,1.77074777835994,1,0.5
400,0.935,6.90267157803888,6.82519282972961,0.965,12.4082639968725,11.9254846992357,0.685,1.99223129863657,1.98036079218777,0.96,0,0,200,1.77074777835994,1,0.5
