"n","proposed_cov","proposed_width","proposed_med_width","naive_cov","naive_width","naive_med_width","stdLLR_cov_tauRD","stdLLR_width","stdLLR_med_width","stdLLR_cov_tauPE","n_na","n_failed","n_success","tauRD","tau_partial","gamma"
100,0.935,26.8368906931692,25.2943440690333,0.945,26525.1954979853,189.492952778482,0.05,3.64987301967131,3.64587101305299,0.93,0,0,200,4.31966164758724,1,1
200,0.935,19.5191510281574,18.9674194693962,0.92,35978.3406096731,132.838163452219,0,2.70572183301959,2.68831372095426,0.965,0,0,200,4.31966164758724,1,1
400,0.96,13.5468207851282,13.3364540147619,0.915,57558.8038708662,77.7116161356272,0,1.99223129863657,1.98036079218777,0.96,0,0,200,4.31966164758724,1,1
